title,link,source,ai_summary,time
Arkle favourite looks rock-solid and I'll be surprised if Kopek Des Bordes beats him - this 16-1 British hope rates the biggest danger,https://www.racingpost.com/news/features/regulars/arkle-favourite-looks-rock-solid-and-ill-be-surprised-if-kopek-des-bordes-beats-him-this-16-1-british-hope-rates-the-biggest-danger-a0Z4A7v8PkAC/,racing_post,AI 模型未就緒,
Kia Joorabchian or ITV Racing? Surely there'd be only one winner in the fight for a restless Frankie's attentions,https://www.racingpost.com/news/opinion/comment/kia-joorabchian-or-itv-racing-surely-thered-be-only-one-winner-in-the-fight-for-a-restless-frankies-attentions-aRY1l1G6TtVR/,racing_post,AI 模型未就緒,
'I've made a million mistakes' - Frankie Dettori recalls the highs and lows of his extraordinary career in a straight-talking interview,https://www.racingpost.com/news/features/the-big-read/ive-made-a-million-mistakes-frankie-dettori-recalls-the-highs-and-lows-of-his-extraordinary-career-in-a-straight-talking-interview-ayv1j6z0Ygat/,racing_post,AI 模型未就緒,
3.00 Catterick: can Bathgate land a third success at this track? Analysis and key quotes for feature handicap hurdle,https://www.racingpost.com/news/raceday-intel/can-bathgate-land-a-third-success-at-his-beloved-catterick-analysis-and-trainer-quotes-for-feature-handicap-hurdle-ar9U09T3OsYA/,racing_post,AI 模型未就緒,
'His stable is in flying form' - Richard Birch expects Plumpton hurdler to continue yard's hot streak,https://www.racingpost.com/horse-racing-tips/premium-tips/top-tipsters/his-stable-is-in-flying-form-richard-birch-expects-plumpton-hurdler-to-continue-yards-hot-streak-alJCV1o2hZxn/,racing_post,AI 模型未就緒,
"Free horse racing tips for Monday, February 9 at Plumpton, Catterick and Wolverhampton",https://www.racingpost.com/horse-racing-tips/todays-top-tips/free-horse-racing-tips-for-monday-february-9-at-plumpton-catterick-and-wolverhampton-aACRT9k17aur/,racing_post,AI 模型未就緒,
Richard Birch's play of the day at Catterick,https://www.racingpost.com/horse-racing-tips/play-of-the-day/richard-birchs-play-of-the-day-at-catterick-a51zE4V6fsue/,racing_post,AI 模型未就緒,
Navan: resurgent Staffordshire Knot to target spring riches after leading home Elliott 1-2-3 in Boyne Hurdle,https://www.racingpost.com/news/reports/hes-a-different-horse-now-resurgent-staffordshire-knot-to-target-more-riches-after-leading-home-gordon-elliott-1-2-3-in-the-boyne-aYAd33Q6wjyg/,racing_post,AI 模型未就緒,
Top amateur rider to partner leading Hunters' Chase hope - plus Sean Bowen on how tactics will prove key to Haiti Couleurs' Gold Cup bid,https://www.racingpost.com/news/features/regulars/top-amateur-rider-to-partner-leading-hunters-chase-hope-plus-sean-bowen-on-how-tactics-will-prove-key-to-haiti-couleurs-gold-cup-bid-aDpSS5Q5TCpx/,racing_post,AI 模型未就緒,
"Testing ground expected for Ascot Chase with potential for rain, sleet and frost this week",https://www.racingpost.com/news/britain/tuesdays-card-at-ffos-las-abandoned-after-heavy-rain-leaves-track-waterlogged-aceOa2b7uueI/,racing_post,AI 模型未就緒,
"'He’s got it, he’s got the lot. He came to me so ready-made - I can’t fault him'",https://www.racingpost.com/news/quotes-of-the-week/hes-got-it-hes-got-the-lot.-he-came-to-me-so-ready-made-i-cant-fault-him-agFom2m7MAt0,racing_post,AI 模型未就緒,
Denman Chase: 'Job done and all systems go for the Gold Cup' after Haiti Couleurs puts rivals to the sword at Newbury,https://www.racingpost.com/news/reports/cheltenham-gold-cup-hope-haiti-couleurs-puts-denman-chase-rivals-to-the-sword-under-sean-bowen-aRe9z5J0sVvg/,racing_post,AI 模型未就緒,
Newbury: 'On testing ground you'd want to have him in the Champion Hurdle' - all-the-way victory puts Tutti Quanti in festival contention,https://www.racingpost.com/news/reports/he-could-be-a-serious-british-contender-for-the-supreme-sober-glory-cut-to-16-1-for-festival-opener-after-impressing-harry-cobden-a5hKy6I51TRi/,racing_post,AI 模型未就緒,
Tutti Quanti may prove a touch below Champion Hurdle class - but his rout paid huge compliments to this 20-1 shot for the Supreme,https://www.racingpost.com/news/betting-insight/tutti-quanti-may-prove-a-touch-below-champion-hurdle-class-but-his-rout-paid-huge-compliments-to-this-20-1-shot-for-the-supreme-a1JuR6q2dw1L/,racing_post,AI 模型未就緒,
Leading Stayers' Hurdle fancy Honesty Policy set to go straight to Cheltenham with ground too testing for planned warm-up,https://www.racingpost.com/news/ireland/leading-stayers-hurdle-fancy-honesty-policy-set-to-go-straight-to-cheltenham-with-ground-too-testing-for-planned-warm-up-aF62V5N2I1nP/,racing_post,AI 模型未就緒,
Chelmsford: 'He's a horse to contend with over the coming months' - Shafdar lands feature race on second start for Ian Williams,https://www.racingpost.com/news/reports/hes-a-horse-to-contend-with-over-the-coming-months-shafdar-lands-feature-race-on-second-start-for-ian-williams-a5P8W4C9Z5z2/,racing_post,AI 模型未就緒,
Southwell: Chancellor fits the bill as John and Thady Gosden land Listed prize,https://www.racingpost.com/news/reports/chancellor-fits-the-bill-as-john-and-thady-gosden-land-listed-prize-alm854M6GOsp/,racing_post,AI 模型未就緒,
Naas: Dinoblue coasts home in Opera Hat to line up Mares' Chase defence at Cheltenham next month,https://www.racingpost.com/news/reports/dinoblue-coasts-home-in-opera-hat-to-line-up-mares-chase-defence-at-cheltenham-next-month-aBpkL2g4tTl2/,racing_post,AI 模型未就緒,
IHRB insists Redwood Queen investigation was 'thorough' despite it declining to avail of BHA assistance,https://www.racingpost.com/news/ireland/ihrb-insists-redwood-queen-investigation-was-thorough-despite-it-declining-to-avail-of-bha-assistance-aIz3C4M2jnlr/,racing_post,AI 模型未就緒,
'He has got everything he needs to win one' - Dan Skelton has his sights set on festival glory,https://www.racingpost.com/news/festivals/cheltenham-festival/he-has-got-everything-he-needs-to-win-one-dan-skelton-has-his-sights-set-on-champion-hurdle-glory-with-the-new-lion-ardEk8f3KZMD/,racing_post,AI 模型未就緒,
"'Why's it not been done sooner?' - Friday Night Live is off and running, and it's a hit with students, racegoers and revellers alike",https://www.racingpost.com/news/britain/whys-it-not-been-done-sooner-friday-night-live-is-off-and-running-and-its-a-hit-with-students-racegoers-and-revellers-alike-aEzNh1p5FVXa/,racing_post,AI 模型未就緒,
Heavy-ground horses: three who will relish conditions at Navan on Sunday - including a Cheltenham Festival winner,https://www.racingpost.com/news/raceday-intel/heavy-ground-horses-three-who-will-relish-conditions-at-navan-on-sunday-including-a-cheltenham-festival-winner-aJfNg9A71xEe/,racing_post,AI 模型未就緒,
He's electric! Meet the former sparky lighting up the sport after 'magic' spell brings seven winners from 11 rides,https://www.racingpost.com/news/ireland/hes-electric-meet-the-former-sparky-lighting-up-the-sport-after-magic-spell-brings-seven-winners-from-11-rides-aExff9Q5wfJt/,racing_post,AI 模型未就緒,
Kia Joorabchian or ITV Racing? Surely there'd be only one winner in the fight for a restless Frankie's attentionsKia Joorabchian or ITV Racing? Surely there'd be only one winner in the fight for a restless Frankie's attentions,https://www.racingpost.com/news/opinion/comment/kia-joorabchian-or-itv-racing-surely-thered-be-only-one-winner-in-the-fight-for-a-restless-frankies-attentions-aRY1l1G6TtVR/,racing_post,AI 模型未就緒,
'Where would he be in the betting?' - Nicky Henderson playfully asks a Champion Hurdle question after Lulamba's dominant display,https://www.racingpost.com/news/reports/where-would-he-be-in-the-betting-nicky-henderson-playfully-asks-a-champion-hurdle-question-after-lulambas-dominant-display-auuws8E6i6WM/,racing_post,AI 模型未就緒,
Gordon Elliott has been slashed to 2-1 to be champion trainer - but is that a brilliant price or a brutal one?,https://www.racingpost.com/news/opinion/comment/gordon-elliott-has-been-slashed-to-2-1-to-be-champion-trainer-but-is-that-a-brilliant-price-or-a-brutal-one-aPBvE1D0ZvAq/,racing_post,AI 模型未就緒,
Cheltenham isn't a sports day with rosettes for everyone - and that's why breeders are wrong when it comes to mares' allowances,https://www.racingpost.com/news/opinion/comment/cheltenham-isnt-a-sports-day-with-rosettes-for-everyone-and-thats-why-breeders-are-wrong-when-it-comes-to-mares-allowances-aPfKa8P6LZ0j/,racing_post,AI 模型未就緒,
"Q&A: 'There’s a churn of trainers moving, dying, retiring, going skint. It’s a very hard game to get established in, and you need luck'",https://www.racingpost.com/news/features/interviews/theres-a-churn-of-trainers-moving-dying-retiring-going-skint.-its-a-very-hard-game-to-get-established-in-and-you-need-luck-aZHF71k1gyFY,racing_post,AI 模型未就緒,
"‘I thought I’d never replicate the buzz of riding a winner at Cheltenham, but this is way better’ - meet the finance high-flyer who conquered racing",https://www.racingpost.com/news/features/the-big-read/i-thought-id-never-replicate-the-buzz-of-riding-a-winner-at-cheltenham-but-this-is-way-better-meet-the-finance-high-flyer-who-conquered-racing-a6Nb03a7mc8X/,racing_post,AI 模型未就緒,
He was one of racing's most powerful leaders. Now he's free to explain how the sport really works,https://www.racingpost.com/news/features/interviews/he-was-one-of-racings-most-powerful-leaders.-now-hes-free-to-explain-how-the-sport-really-works-a7z3A4d9Tckw,racing_post,AI 模型未就緒,
"Poker genius, visionary football chairman and pioneering data-led punter - the many (profitable) faces of Tony Bloom",https://www.racingpost.com/news/features/masters-of-betting/poker-genius-visionary-football-chairman-and-pioneering-data-led-punter-the-many-profitable-faces-of-tony-bloom-a0UWt2Y6DPmh/,racing_post,AI 模型未就緒,
"Introducing Masters of Betting, an unmissable series available now - read it all with 25% off RP+",https://www.racingpost.com/news/introducing-masters-of-betting-an-unmissable-series-next-week-in-the-racing-post-read-it-all-with-25-off-rp-aJKV17m1iNzx/,racing_post,AI 模型未就緒,
"'I was down £11,000 but you can't let that alter what you do' - meet one of the giants of on-course betting",https://www.racingpost.com/news/features/masters-of-betting/i-was-down-11000-but-you-cant-let-that-alter-what-you-do-meet-one-of-the-giants-of-on-course-betting-aXYs01f58AHh/,racing_post,AI 模型未就緒,
When science met punting: the godfather of modern-day betting and his golden rules that remain valid to this day,https://www.racingpost.com/news/features/masters-of-betting/when-science-met-punting-the-godfather-of-modern-day-betting-and-his-golden-rules-that-remain-valid-to-this-day-aO1b67N07bKR/,racing_post,AI 模型未就緒,
How a dodgy bank loan led to nearly 40 years as a pro punter - proving old-school methods still have their place,https://www.racingpost.com/news/features/masters-of-betting/how-a-dodgy-bank-loan-led-to-nearly-40-years-as-a-pro-punter-proving-old-school-methods-still-have-their-place-aKazg3g7sdy3/,racing_post,AI 模型未就緒,
Trainer Thomas Levesque guides Iroise De La Noe to an 11-1 success in the Prix de France,https://www.racingpost.com/news/international/focus-on-france/trainer-thomas-levesque-guides-iroise-de-la-noe-to-an-11-1-success-in-the-prix-de-france-agveP6C4IKiT/,racing_post,AI 模型未就緒,
Abu Dhabi: Strauss strings along his rivals as he leads Japan to Gold Cup glory over British and Irish challengers,https://www.racingpost.com/news/reports/strauss-strings-along-his-rivals-as-he-leads-japan-to-abu-dhabi-gold-cup-glory-over-british-and-irish-challengers-a8zss1j8wmcR/,racing_post,AI 模型未就緒,
Marco Botti hands Pierre-Charles Boudot a return to top table with Group 1 ride on Giavelotto,https://www.racingpost.com/news/international/marco-botti-hands-pierre-charles-boudot-a-return-to-top-table-with-group-1-ride-on-giavelotto-arC892w3BsRI/,racing_post,AI 模型未就緒,
Frankie Dettori reveals the one horse who had him seeking a return to Britain - only for John Gosden to turn him down,https://www.racingpost.com/news/britain/frankie-dettori-reveals-the-one-horse-who-had-him-seeking-a-return-to-britain-only-for-john-gosden-to-turn-him-down-a2hZh7c6JCNX/,racing_post,AI 模型未就緒,
Shock Coral Cup decision shows bookmakers are drawing a line - now racing waits nervously to see where it will fall,https://www.racingpost.com/news/opinion/comment/shock-coral-cup-decision-shows-bookmakers-are-drawing-a-line-now-racing-waits-nervously-to-see-where-it-will-fall-atEFm7l6luaT/,racing_post,AI 模型未就緒,
Government funding to tackle illegal gambling looks insufficient as evidence of black market growth mounts up,https://www.racingpost.com/news/opinion/comment/government-funding-to-tackle-illegal-gambling-looks-insufficient-as-evidence-of-black-market-growth-mounts-up-apqc93X3NVYT/,racing_post,AI 模型未就緒,
Political climate is increasingly harsh for bookmakers - and that may drive need for racing and betting to rebuild bridges,https://www.racingpost.com/news/opinion/comment/political-climate-is-increasingly-harsh-for-bookmakers-and-that-may-drive-need-for-racing-and-betting-to-rebuild-bridges-aJECc8J03sBI/,racing_post,AI 模型未就緒,
Inside the battle for raceday data - which looks set to scupper Lord Allen’s grand plans for BHA,https://www.racingpost.com/news/opinion/comment/inside-the-battle-for-raceday-data-which-looks-set-to-scupper-lord-allens-grand-plans-for-bha-a97Lr0F0psZS/,racing_post,AI 模型未就緒,
Atzeni bags treble as Flow Water Flow boosts faint HK Derby hopes,https://www.scmp.com/sport/racing/article/3342836/andrea-atzeni-bags-treble-flow-water-flow-boosts-faint-hong-kong-derby-hopes,scmp_racing,AI 模型未就緒,2026-02-08 19:12
Lucky Ranger a smart one for Newnham as title fight with Hayes heats up,https://www.scmp.com/sport/racing/article/3342840/lucky-ranger-smart-one-mark-newnham-title-fight-david-hayes-heats,scmp_racing,AI 模型未就緒,2026-02-08 19:45
Whyte hopes Violet Star can enter Classic Series reckoning with Sha Tin win,https://www.scmp.com/sport/racing/article/3342780/douglas-whyte-hopes-violet-star-can-enter-classic-series-reckoning-sha-tin-win,scmp_racing,AI 模型未就緒,2026-02-07 21:02
Crawford fancies weight swing and return to Sha Tin for Encountered in G3 Vase,https://www.scmp.com/sport/racing/article/3342775/brett-crawford-fancies-weight-swing-and-return-sha-tin-encountered-centenary-vase,scmp_racing,AI 模型未就緒,2026-02-07 19:40
Top Australian jockey Ethan Brown and Nichola Yuen set to join elite Hong Kong riding ranks,https://www.scmp.com/sport/racing/article/3342647/top-australian-jockey-ethan-brown-and-nichola-yuen-set-join-elite-hong-kong-riding-ranks,scmp_racing,AI 模型未就緒,2026-02-06 16:16
Lui puts faith in Speed Dragon and Chancheng Glory to continue purple patch,https://www.scmp.com/sport/racing/article/3342533/francis-lui-puts-faith-speed-dragon-and-chancheng-glory-continue-purple-patch,scmp_racing,AI 模型未就緒,2026-02-05 18:29
The state of play as the HK racing season approaches halfway point,https://www.scmp.com/sport/racing/article/3342487/state-play-hong-kong-racing-season-approaches-halfway,scmp_racing,AI 模型未就緒,2026-02-05 15:05
SCMP Best Bets: Conrad Patch can make it second time lucky at Sha Tin,https://www.scmp.com/sport/racing/article/3342784/scmp-best-bets-conrad-patch-can-make-it-second-time-lucky-sha-tin,scmp_racing,AI 模型未就緒,2026-02-07 21:58
Romantic Son secures dramatic third-straight Million Challenge for Hayes,https://www.scmp.com/sport/racing/article/3342423/romantic-son-secures-dramatic-third-straight-million-challenge-david-hayes-happy-valley,scmp_racing,AI 模型未就緒,2026-02-04 23:46
[東方] '+oNews[i]['title']+',https://racing.on.cc/news.html,on_cc_racing,AI 模型未就緒,2026-02-09
[東方] '+(vv['title'])+',https://racing.on.cc/news.html,on_cc_racing,AI 模型未就緒,2026-02-09
[東方] '+v[i]['title']+',https://racing.on.cc/news.html,on_cc_racing,AI 模型未就緒,2026-02-09
